cafe_location,transaction_id,date_time,customer_id,item,item_quantity,net_price
Icee,CAF0001661,10/1/24 7:28,C5451,Hot Chocolate,1,3.99
Slushie,CAF0015670,10/1/24 8:13,M1005,Breakfast Sandwich,2,6.67
Icee,CAF0014009,10/1/24 8:14,C9174,Soda,2,2.99
Slushie,CAF0014009,10/1/24 8:14,C9174,Hot Chocolate,1,3.99
Slurpie,CAF0016214,10/1/24 8:23,M1019,Pizza Slice,1,5.09
Slushie,CAF0010455,10/1/24 8:45,C8109,Cookie,1,2.75
Slurpie,CAF0010455,10/1/24 8:45,C8109,Coffee,2,3.99
Slurpie,CAF0010455,10/1/24 8:45,C8109,Soup,1,5.99
Slurpie,CAF0014100,10/1/24 8:49,C9201,Fries,1,4.99
Slurpie,CAF0014100,10/1/24 8:49,C9201,Coffee,1,3.99
Icee,CAF0014100,10/1/24 8:49,C9201,Pizza Slice,1,5.99
Slushie,CAF0009626,10/1/24 8:50,C7850,Fries,2,4.99
Slurpie,CAF0016051,10/1/24 8:50,M1015,Coffee,1,3.39
Icee,CAF0016051,10/1/24 8:50,M1015,Breakfast Sandwich,2,6.67
Icee,CAF0016051,10/1/24 8:50,M1015,Cookie,1,2.34
Slushie,CAF0008511,10/1/24 9:01,C7529,Fries,2,4.99
Slurpie,CAF0008511,10/1/24 9:01,C7529,Breakfast Sandwich,1,7.85
Slushie,CAF0022429,10/1/24 9:09,M1192,Breakfast Sandwich,2,6.67
Slurpie,CAF0010454,10/1/24 9:13,C8109,Cookie,1,2.75
Icee,CAF0010592,10/1/24 9:15,C8146,Breakfast Sandwich,1,7.85
Slushie,CAF0010592,10/1/24 9:15,C8146,Fries,1,4.99
Icee,CAF0014010,10/1/24 9:16,C9174,Hot Chocolate,2,3.99
Icee,CAF0014010,10/1/24 9:16,C9174,Coffee,2,3.99
Slurpie,CAF0014010,10/1/24 9:16,C9174,Fries,2,4.99
Slurpie,CAF0020416,10/1/24 9:16,M1134,Coffee,1,3.39
Slurpie,CAF0020416,10/1/24 9:16,M1134,Soda,2,2.54
Icee,CAF0021114,10/1/24 9:19,M1152,Pizza Slice,2,5.09
